browserify-des,1.0.2,MIT,https://github.com/crypto-browserify/browserify-des#readme
browserify-rsa,4.0.1,MIT,Unknown
browserify-sign,4.0.4,ISC,Unknown
browserify-zlib,0.2.0,MIT,https://github.com/devongovett/browserify-zlib
browserslist,1.7.7,MIT,Unknown
browserslist,2.11.3,MIT,Unknown
browserslist,3.2.8,MIT,Unknown
bser,2.0.0,Apache 2.0,https://facebook.github.io/watchman/docs/bser.html
buffer,4.9.1,MIT,https://github.com/feross/buffer
buffer-from,1.1.0,MIT,Unknown
buffer-indexof,1.1.1,MIT,Unknown
buffer-xor,1.0.3,MIT,https://github.com/crypto-browserify/buffer-xor
builder,3.2.3,MIT,http://onestepback.org
builtin-modules,1.1.1,MIT,sindresorhus.com
builtin-status-codes,3.0.0,MIT,bendrucker.me
bundler,1.16.2,MIT,http://bundler.io
bundler-audit,0.6.0,GPL-3.0+,https://github.com/rubysec/bundler-audit#readme
byebug,10.0.2,Simplified BSD,http://github.com/deivid-rodriguez/byebug
bytes,3.0.0,MIT,http://tjholowaychuk.com
cacache,10.0.4,ISC,Unknown
cache-base,1.0.1,MIT,https://github.com/jonschlinkert/cache-base
caller-path,0.1.0,MIT,http://sindresorhus.com
callsites,0.2.0,MIT,http://sindresorhus.com
callsites,2.0.0,MIT,sindresorhus.com
camelcase,1.2.1,MIT,http://sindresorhus.com
camelcase,2.1.1,MIT,http://sindresorhus.com
camelcase,3.0.0,MIT,http://sindresorhus.com
camelcase,4.1.0,MIT,sindresorhus.com
camelcase-keys,2.1.0,MIT,http://sindresorhus.com
camelcase-keys,4.2.0,MIT,sindresorhus.com
caniuse-api,1.6.1,MIT,Unknown
caniuse-api,2.0.0,MIT,Unknown
caniuse-db,1.0.30000869,CC-BY-4.0,Unknown
caniuse-lite,1.0.30000865,CC-BY-4.0,http://beneb.info
capture-exit,1.2.0,ISC,https://github.com/stefanpenner/capture-exit#readme
capybara,2.18.0,MIT,https://github.com/teamcapybara/capybara
case-sensitive-paths-webpack-plugin,2.1.2,MIT,https://github.com/Urthen/case-sensitive-paths-webpack-plugin#readme
caseless,0.12.0,Apache 2.0,Unknown
ccount,1.0.3,MIT,http://wooorm.com
center-align,0.1.3,MIT,https://github.com/jonschlinkert/center-align
chalk,0.5.1,MIT,Unknown
chalk,1.1.3,MIT,Unknown
chalk,2.4.1,MIT,Unknown
character-entities,1.2.2,MIT,http://wooorm.com
character-entities-html4,1.1.2,MIT,http://wooorm.com
character-entities-legacy,1.1.2,MIT,http://wooorm.com
character-reference-invalid,1.1.2,MIT,http://wooorm.com
chardet,0.4.2,MIT,https://github.com/runk/node-chardet
cheerio,1.0.0-rc.2,MIT,mat.io
childprocess,0.9.0,MIT,http://github.com/enkessler/childprocess
chokidar,2.0.4,MIT,https://github.com/paulmillr/chokidar
chownr,1.0.1,ISC,http://blog.izs.me/
chromedriver-helper,1.2.0,MIT,https://github.com/flavorjones/chromedriver-helper
ci-info,1.1.3,MIT,https://github.com/watson/ci-info
cipher-base,1.0.4,MIT,https://github.com/crypto-browserify/cipher-base#readme
circular-json,0.3.3,MIT,https://github.com/WebReflection/circular-json
clap,1.2.3,MIT,https://github.com/lahmatiy/clap
class-utils,0.3.6,MIT,https://github.com/jonschlinkert/class-utils
classnames,2.2.6,MIT,Unknown
cli-cursor,1.0.2,MIT,sindresorhus.com
cli-cursor,2.1.0,MIT,sindresorhus.com
cli-width,2.2.0,ISC,https://github.com/knownasilya/cli-width
cliui,2.1.0,ISC,Unknown
cliui,3.2.0,ISC,Unknown
cliui,4.1.0,ISC,Unknown
clone,1.0.4,MIT,http://paul.vorba.ch/
clone-deep,2.0.2,MIT,https://github.com/jonschlinkert/clone-deep
clone-regexp,1.0.1,MIT,http://sindresorhus.com
co,4.6.0,MIT,Unknown
coa,1.0.4,MIT,http://github.com/veged/coa
code-point-at,1.1.0,MIT,sindresorhus.com
coderay,1.1.2,MIT,http://coderay.rubychan.de
coercible,1.0.0,MIT,https://github.com/solnic/coercible
coffeescript,2.3.1,MIT,https://coffeescript.org/
collapse-white-space,1.0.4,MIT,http://wooorm.com
collection-visit,1.0.0,MIT,https://github.com/jonschlinkert/collection-visit
color,0.11.4,MIT,Unknown
color,1.0.3,MIT,Unknown
color,2.0.1,MIT,Unknown
color-convert,1.9.2,MIT,Unknown
color-name,1.1.1,MIT,https://github.com/dfcreative/color-name
color-name,1.1.3,MIT,https://github.com/dfcreative/color-name
color-string,0.3.0,MIT,Unknown
color-string,1.5.2,MIT,Unknown
colormin,1.1.2,MIT,https://github.com/ben-eb/colormin
colors,0.5.1,UNKNOWN,Unknown
colors,1.1.2,MIT,https://github.com/Marak/colors.js
combined-stream,1.0.6,MIT,https://github.com/felixge/node-combined-stream
commander,2.13.0,MIT,Unknown
commander,2.16.0,MIT,Unknown
commondir,1.0.1,MIT,http://substack.net
compare-versions,3.3.0,MIT,https://github.com/omichelsen/compare-versions#readme
component-emitter,1.2.1,MIT,Unknown
compressible,2.0.14,MIT,Unknown
compression,1.7.3,MIT,Unknown
compression-webpack-plugin,1.1.11,MIT,https://webpack.js.org/plugins/compression-webpack-plugin/
concat-map,0.0.1,MIT,http://substack.net
concat-stream,1.6.2,MIT,Unknown
concurrent-ruby,1.0.5,MIT,http://www.concurrent-ruby.com
connect-history-api-fallback,1.5.0,MIT,http://bripkens.de
console-browserify,1.1.0,MIT,https://github.com/Raynos/console-browserify
console-control-strings,1.1.0,ISC,http://re-becca.org/
constants-browserify,1.0.0,MIT,https://github.com/juliangruber/constants-browserify
contains-path,0.1.0,MIT,https://github.com/jonschlinkert/contains-path
content-disposition,0.5.2,MIT,Unknown
content-type,1.0.4,MIT,Unknown
convert-source-map,1.5.1,MIT,https://github.com/thlorenz/convert-source-map
cookie,0.3.1,MIT,Unknown
cookie-signature,1.0.6,MIT,Unknown
copy-concurrently,1.0.5,ISC,https://www.npmjs.com/package/copy-concurrently
copy-descriptor,0.1.1,MIT,https://github.com/jonschlinkert/copy-descriptor
copyfiles,1.2.0,ISC,Unknown
core-js,1.2.7,MIT,Unknown
core-js,2.5.7,MIT,Unknown
core-util-is,1.0.2,MIT,http://blog.izs.me/
cosmiconfig,3.1.0,MIT,https://github.com/davidtheclark/cosmiconfig#readme
cosmiconfig,4.0.0,MIT,https://github.com/davidtheclark/cosmiconfig#readme
crass,1.0.4,MIT,https://github.com/rgrove/crass/
create-ecdh,4.0.3,MIT,https://github.com/crypto-browserify/createECDH
create-hash,1.2.0,MIT,https://github.com/crypto-browserify/createHash
create-hmac,1.1.7,MIT,https://github.com/crypto-browserify/createHmac
create-react-class,15.6.3,MIT,https://facebook.github.io/react/
cross-spawn,3.0.1,MIT,http://indigounited.com
cross-spawn,5.1.0,MIT,http://indigounited.com
cross-spawn,6.0.5,MIT,https://github.com/moxystudio/node-cross-spawn
cryptiles,2.0.5,New BSD,Unknown
crypto-browserify,3.12.0,MIT,https://github.com/crypto-browserify/crypto-browserify
css-color-function,1.3.3,MIT,Unknown
css-color-names,0.0.4,MIT,http://www.daveeddy.com
css-loader,0.28.11,MIT,https://github.com/webpack-contrib/css-loader
css-select,1.2.0,Simplified BSD,Unknown
css-selector-tokenizer,0.7.0,MIT,https://github.com/css-modules/css-selector-tokenizer
css-unit-converter,1.1.1,MIT,https://github.com/andyjansson/css-unit-converter
css-what,2.1.0,Simplified BSD,http://feedic.com
cssesc,0.1.0,MIT,http://mths.be/cssesc
cssnano,3.10.0,MIT,https://github.com/ben-eb/cssnano
csso,2.3.2,MIT,https://github.com/css/csso
cssom,0.3.4,MIT,Unknown
cssstyle,0.3.1,MIT,https://github.com/jsakas/CSSStyleDeclaration
csstype,2.5.5,MIT,Unknown
currently-unhandled,0.4.1,MIT,github.com/jamestalmage
cyclist,0.2.2,MIT*,Unknown
d,1.0.0,MIT,http://www.medikoo.com/
damerau-levenshtein,1.0.4,Simplified BSD,Unknown
dashdash,1.14.1,MIT,http://trentm.com
data-urls,1.0.0,MIT,https://domenic.me/
date-now,0.1.4,MIT,https://github.com/Colingo/date-now
debug,2.6.9,MIT,Unknown
debug,3.1.0,MIT,Unknown
debuglog,1.0.1,MIT,Unknown
decamelize,1.2.0,MIT,sindresorhus.com
decamelize-keys,1.1.0,MIT,http://sindresorhus.com
decode-uri-component,0.2.0,MIT,github.com/SamVerschueren
deep-equal,1.0.1,MIT,http://substack.net
deep-extend,0.6.0,MIT,https://github.com/unclechu/node-deep-extend
deep-is,0.1.3,MIT,http://thlorenz.com
default-require-extensions,2.0.0,MIT,github.com/jamestalmage
define-properties,1.1.2,MIT,Unknown
define-property,0.2.5,MIT,https://github.com/jonschlinkert/define-property
define-property,1.0.0,MIT,https://github.com/jonschlinkert/define-property
define-property,2.0.2,MIT,https://github.com/jonschlinkert/define-property
defined,1.0.0,MIT,https://github.com/substack/defined
del,2.2.2,MIT,sindresorhus.com
del,3.0.0,MIT,sindresorhus.com
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream
delegates,1.0.0,MIT,Unknown
depd,1.1.1,MIT,Unknown
depd,1.1.2,MIT,Unknown
des.js,1.0.0,MIT,https://github.com/indutny/des.js#readme
descendants_tracker,0.0.4,MIT,https://github.com/dkubb/descendants_tracker
destroy,1.0.4,MIT,http://jongleberry.com
detect-indent,4.0.0,MIT,sindresorhus.com
detect-libc,1.0.3,Apache 2.0,Unknown
detect-newline,2.1.0,MIT,sindresorhus.com
detect-node,2.0.3,ISC,https://github.com/iliakan/detect-node
dezalgo,1.0.3,ISC,https://github.com/npm/dezalgo
diff,3.5.0,New BSD,Unknown
diff-lcs,1.3,"MIT,Artistic-2.0,GPL-2.0+",https://github.com/halostatue/diff-lcs
diffie-hellman,5.0.3,MIT,https://github.com/crypto-browserify/diffie-hellman
dir-glob,2.0.0,MIT,github.com/kevva
discontinuous-range,1.0.0,MIT,https://github.com/dtudury/discontinuous-range
dns-equal,1.0.0,MIT,https://github.com/watson/dns-equal#readme
dns-packet,1.3.1,MIT,https://github.com/mafintosh/dns-packet
dns-txt,2.0.2,MIT,https://github.com/watson/dns-txt
docile,1.1.5,MIT,https://ms-ati.github.io/docile/
doctrine,1.5.0,Simplified BSD,https://github.com/eslint/doctrine
doctrine,2.1.0,Apache 2.0,https://github.com/eslint/doctrine
dom-helpers,3.3.1,MIT,Unknown
dom-serializer,0.1.0,MIT,Unknown
domain-browser,1.2.0,MIT,https://github.com/bevry/domain-browser
domelementtype,1.1.3,Simplified BSD,Unknown
domelementtype,1.3.0,Simplified BSD,Unknown
domexception,1.0.1,MIT,https://domenic.me/
domhandler,2.4.2,Simplified BSD,Unknown
domutils,1.5.1,Simplified BSD,Unknown
domutils,1.7.0,Simplified BSD,Unknown
dot-prop,4.2.0,MIT,sindresorhus.com
dotenv,2.4.0,MIT,https://github.com/bkeepers/dotenv
dotenv,6.0.0,Simplified BSD,Unknown
dotenv-rails,2.4.0,MIT,https://github.com/bkeepers/dotenv
dry-configurable,0.7.0,MIT,https://github.com/dryrb/dry-configurable
dry-container,0.6.0,MIT,https://github.com/dryrb/dry-container
dry-core,0.4.5,MIT,https://github.com/dry-rb/dry-core
dry-equalizer,0.2.1,MIT,https://github.com/dryrb/dry-equalizer
dry-logic,0.4.2,MIT,https://github.com/dry-rb/dry-logic
dry-struct,0.4.0,MIT,https://github.com/dry-rb/dry-struct
dry-types,0.12.2,MIT,https://github.com/dry-rb/dry-types
dumb_delegator,0.8.0,MIT,https://github.com/stevenharman/dumb_delegator
duplexer,0.1.1,MIT,https://github.com/Raynos/duplexer
duplexify,3.6.0,MIT,https://github.com/mafintosh/duplexify
ecc-jsbn,0.1.1,MIT,https://github.com/quartzjer/ecc-jsbn
ee-first,1.1.1,MIT,http://jongleberry.com
elasticsearch,15.1.1,Apache 2.0,http://www.elastic.co/guide/en/elasticsearch/client/javascript-api/current/index.html
electron-to-chromium,1.3.52,ISC,Unknown
elliptic,6.4.0,MIT,https://github.com/indutny/elliptic
emoji-regex,6.5.1,MIT,https://mths.be/emoji-regex
emojis-list,2.1.0,MIT,https://github.com/Kikobeats/emojis-list
encodeurl,1.0.2,MIT,Unknown
encoding,0.1.12,MIT,Unknown
end-of-stream,1.4.1,MIT,https://github.com/mafintosh/end-of-stream
enhanced-resolve,3.4.1,MIT,http://github.com/webpack/enhanced-resolve
entities,1.1.1,Simplified BSD,Unknown
enzyme,3.3.0,MIT,http://airbnb.io/enzyme/
enzyme-adapter-react-16,1.1.1,MIT,http://airbnb.io/enzyme/
enzyme-adapter-utils,1.4.0,MIT,http://airbnb.io/enzyme/
equalizer,0.0.11,MIT,https://github.com/dkubb/equalizer
errno,0.1.7,MIT,Unknown
error-ex,1.3.2,MIT,Unknown
erubi,1.7.1,MIT,https://github.com/jeremyevans/erubi
es-abstract,1.12.0,MIT,http://ljharb.codes
es-to-primitive,1.1.1,MIT,Unknown
es5-ext,0.10.45,ISC,http://www.medikoo.com/
es6-iterator,2.0.3,MIT,http://www.medikoo.com/
es6-map,0.1.5,MIT,http://www.medikoo.com/
es6-set,0.1.5,MIT,http://www.medikoo.com/
es6-symbol,3.1.1,MIT,http://www.medikoo.com/
es6-weak-map,2.0.2,MIT,http://www.medikoo.com/
escape-html,1.0.3,MIT,Unknown
escape-string-regexp,1.0.5,MIT,sindresorhus.com
escodegen,1.11.0,Simplified BSD,http://github.com/estools/escodegen
escope,3.6.0,Simplified BSD,http://github.com/estools/escope
eslint,3.19.0,MIT,http://eslint.org/
eslint,4.19.1,MIT,https://eslint.org/
eslint-config-prettier,2.9.0,MIT,Unknown
eslint-config-standard,11.0.0,MIT,https://github.com/standard/eslint-config-standard
eslint-import-resolver-node,0.3.2,MIT,https://github.com/benmosher/eslint-plugin-import
eslint-loader,1.9.0,MIT,Unknown
eslint-module-utils,2.2.0,MIT,https://github.com/benmosher/eslint-plugin-import#readme
eslint-plugin-import,2.13.0,MIT,https://github.com/benmosher/eslint-plugin-import
eslint-plugin-jasmine,2.10.1,MIT,https://github.com/tlvince/eslint-plugin-jasmine
eslint-plugin-jest,21.18.0,MIT,jkimbo.com
eslint-plugin-jsx-a11y,6.1.1,MIT,Unknown
eslint-plugin-no-unsanitized,2.0.2,Mozilla Public License 2.0,https://github.com/mozilla/eslint-plugin-no-unsanitized/
eslint-plugin-node,5.2.1,MIT,https://github.com/mysticatea/eslint-plugin-node#readme
eslint-plugin-prettier,2.6.2,MIT,https://github.com/prettier/eslint-plugin-prettier#readme
eslint-plugin-promise,3.8.0,ISC,Unknown
eslint-plugin-react,7.10.0,MIT,https://github.com/yannickcr/eslint-plugin-react
